MUS,BIOL,ME,GER,CI,CI,FSOS
DES,VBS,CI,ENGL,ESPM,PHYS,SMGT
AAS,AGRO,AMIN,FREN,PHIL,ESPM,CI
CHIC,HORT,ENGL,SCAN,SLHS,AST,JOUR
AFRO,TH,AAS,GWSS,SOC,CSE,AAS
ARTS,GEOG,CNES,CSCL,POL,SOIL,PSY
JOUR,PSTL,RELS,PA,PSY,FSCN,GWSS
CNES,,AFRO,RUSS,STAT,SLHS,ECON
RELS,,LA,CHIC,TH,CHEM,SLHS
PHIL,,POL,PSTL,PSTL,PSTL,SOC
WRIT,,JOUR,AFRO,,,POL
TH,,CSCL,ENGW,,,APEC
GEOG,,HIST,,,,KIN
JWST,,GLOS,,,,TH
CE,,TH,,,,LING
ID,,CHIC,,,,GLOS
ALL,,EAS,,,,AFRO
AMIN,,AMST,,,,GEOG
LA,,ARCH,,,,PSTL
SCMC,,ID,,,,
CSCL,,PSTL,,,,
PSTL,,,,,,
